id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,quantity_sold,category
87670334,Balo Đan Dây Dân Phượt Phong Cách Lính Bug Nhiều Ngăn MHP21,""" - HÌNH 100% DO SHOP TỰ CHỤP  - SHOP CAM KẾT HÀNG UY TÍN CHẤT LƯỢNG  - SẢN PHẨM ĐƯỢC BẢO HÀNH CỤ THỂ ""Balo Phong Cách Lính MHP21 Đây là một chiếc ba lô đa năng được thiết kế phong cách lính. Với k...",329000,249000,dropship,OEM,2,5.0,0,True,Balo túi xách rẻ đẹp,894,15,0,False,3,backpacks_suitcases
56989932,Balo du lịch unisex đa năng dáng chữ nhật IDIGO UBP2-418-00,"Ngày nay, Balo là một trong những item không còn xa lạ trong giới phụ kiện thời trang. Balo đa dạng với nhiều kiểu dáng, kích thước nhưng phổ biến nhất với chất liệu da chắc chắn, tính tiện dụng ca...",650000,422500,dropship,IDIGO,0,0.0,0,True,IDIGO,1174,9,0,False,0,backpacks_suitcases
191424169,Balo du lịch chuyên dụng Inoxto 25L BLDL007,"Vật chất: Polyester không thấm nướcMàu sắc: Đen Dung tích: 20-30LTrọng lượng: 0,81kgKích thước: 25 * 20 * 50cmCách sử dụng: Dã ngoại, phượtƯu điểm sản phẩm:1. Vải chống thấm: Vải túi có thiết kế chốn...",600000,450000,tiki_delivery,INOXTO,0,0.0,0,True,BoBo Store,418,9,12218,True,0,backpacks_suitcases
157254368,Balo Họa Tiết Báo SAIGON SWAGGER SGS Journal Backpack-Ngăn Chống Sốc Laptop 15',"/Balo Họa Tiết Báo SAIGON SWAGGER SGS Journal Backpack-Ngăn Chống Sốc Laptop 15inch/   Thiết kế bao gồm :   - Bên trong : 1 ngăn chính lớn, 1 ngăn trung và 1 ngăn phụ nhỏ   - 1 ngăn chốn...",590000,590000,dropship,Saigon Swagger,0,0.0,0,True,Saigon Swagger,609,9,0,False,3,backpacks_suitcases
107618376,Balo khủng long đựng nón bảo hiểm - Hồng,MÔ TẢ SẢN PHẨM   Balo khủng long cực hot 2018   Chất liệu vải lưới siêu bền   Mầu sắc tươi sáng   Kích thước dài x rộng x cao = 42 x 27 x 25cm   ...,145000,145000,dropship,OEM,1,5.0,0,True,Group Case TTM,812,2,3937,False,1,backpacks_suitcases
98738297,Ba lô siêu tải Mountaineering Bag Black Max XXL  ️  ️,Ba lô siêu tải Mountaineering Bag Black Max XXL   THÔNG TIN SẢN PHẨM :   - Tên sản phẩm : Ba lô siêu tải Mountaineering Bag Black Max XXL   - Chất liệu : Vải Oxford   - Màu sắc : Đen  ...,1157000,1157000,dropship,OEM,0,0.0,0,True,EuroDecor,846,9,27151,False,0,backpacks_suitcases
151971806,BALO DU LỊCH CHỐNG SỐC H-BL01,BALO DU LỊCH H- BL01 ” mới trong làng balo đã chính thức được trình làng.   HÀNG VIỆT NAM sản xuất bảo hành 24 tháng chính hãng   Marcello – Đúng như cái tên có nguồn gốc từ nước Ý - Là ...,369000,369000,dropship,OEM,0,0.0,0,True,TH VALI,628,9,0,False,0,backpacks_suitcases
143888675,Ba Lô Đi Phượt Chuyên Dụng Du Lịch (Đen/Xanh Phối Đen) - Euro Quality,Vật Liệu chính: Chống Thấm chất lượng cao Nylon lót: Polester   Kích Thước: 30*20*75CM   Nặng : 1.14 KG   Phong cách: Thể Thao   Giới tính: Unisex   THÔNG TIN SẢN PHẨM :   Vật Liệu ch...,828000,828000,dropship,OEM,0,0.0,0,True,Gia Dụng Diggory,653,6,37469,False,0,backpacks_suitcases
197104761,Ba lô du lịch đi phượt siêu tải 90L Mountaineering Bag Black Max XXL,Ba lô siêu tải Mountaineering Bag Black Max XXL   THÔNG TIN SẢN PHẨM :   - Tên sản phẩm : Ba lô siêu tải Mountaineering Bag Black Max XXL   - Chất liệu : Vải Oxford   - Màu sắc : Đen  ...,1068000,1068000,dropship,OEM,0,0.0,0,True,Hanrui Shop,369,9,27151,False,0,backpacks_suitcases
54009162,Bộ combo balo túi 4 món Nhóc đội nón thời trang du lịch JSE84,"GIỚI THIỆU SẢN PHẨM- Sản phẩm với thiết kế năng động, trẻ trung cho các bạn trẻ với họa tiết đơn giản nhưng không kém phần cá tính. Góp phần tạo ra điểm nhấn làm nổi bật cho người mang.- Hình dáng: Sả...",226000,226000,dropship,OEM,0,0.0,0,True,Cherry Sweet,1225,1,0,False,0,backpacks_suitcases
153264819,Balo da cap cấp pha da thật phong cách 5.0.2 nắp kéo Cao cấp nhập khẩu HN65,Balo cặp đa năng công nghệ 5.0.2 . chất liệu Da PU không bông tróc lót trong vải NILON (Polyester) có tác dụng chống thấm rất tốt do được cán màng PU hoặc PVC. Màu sắc chỉ có đen và nâu không nhuộm m...,302175,255687,dropship,OEM,0,0.0,0,True,Shalla,618,10,0,True,0,backpacks_suitcases
14754609,Balo du lịch thời trang 05Grey,"1.Mẫu mã Balo thời trang du lịchBalo du lịch thời trang được phối màu xám và xanh (jean) tạo nên hình ảnh trẻ trung, năng động rất phù hợp với mọi lứa tuổi Kiểu dáng hiện đại, đa năng vừa là balo du...",389000,389000,dropship,KTP,0,0.0,0,True,NPP Kim Trường Phú,1599,3,0,False,0,backpacks_suitcases
208915673,Balo du lịch Xbags Secret Xb 1201,"Balo du lịch Secret Xb 1201Balo du lịch thời trang Xbags Secret với kiểu dáng thời trang mới mẻ, thiết kế hiện đại, tinh tế. Phân ngăn khoa học tiện lợi; chất liệu bền bỉ trượt nước vượt trội khẳng đ...",504000,399000,dropship,XBags,0,0.0,0,True,Balo Túi xách Trung Nguyên TNShop,272,8,0,False,0,backpacks_suitcases
212561814,Túi Đựng Đồ Lót Đi Du Lịch Nhiều Ngăn Nhỏ Gọn Không Thấm Nước Tiện Dụng - Màu Đỏ - Chính hãng dododios,Túi Đựng Đồ Lót Đi Du Lịch Nhiều Ngăn Nhỏ Gọn Không Thấm Nước Tiện Dụng - Màu Đỏ - Chính hãng dododios        Túi Đựng Đồ Lót Đi Du Lịch Nhiều Ngăn Nhỏ Gọn Không Thấm Nước Tiện Dụng ...,94000,89300,dropship,dododios,0,0.0,0,False,DoDoDios Official Store,262,8,0,True,1,backpacks_suitcases
186218193,Sea Choice Balo lớn có cổng sạc USB Balo máy tính xách tay du lịch Chống nước Túi chống trộm Balo máy tính cho doanh nhân,Một sự lựa chọn tuyệt vời cho túi hàng ngày của bạn!﹡Vật chất:Chất liệu bên ngoài: vải oxford chất lượng caoChất liệu bên trong: polyesterPhần cứng kim loại đen﹡Một lớp phủ chống thấm nước để làm cho ...,419520,419520,dropship,Sea Choice,0,0.0,0,True,topsone,453,6,0,False,1,backpacks_suitcases
195544953,Cath kidston-Dây đeo thẻ Lanyard London West End-1042764-Lilac,- SKU: 1042764- Kiểu dáng: Dây đeo thẻ- Thành phần chất liệu: Polyester- Kích thước: 44 x 1.5 cm- Màu sắc: Navy- Xuất xứ: China...,249000,249000,dropship,Cath Kidston,0,0.0,0,True,TANACHIRA,384,3,0,False,0,backpacks_suitcases
146948901,Balo nữ đẹp đi học thời trang du lịch phong cách hàn quốc dễ thương cá tính BL95 (Không móc treo),"Balo thời trang du lịch đi học nữ đẹp BL95   BALO THỜI TRANG ĐẸP   - Kích thước: 31 X 15 X 43CM   - Chất liệu: vải dù    Style: Korea   BALO NỮ không những đi học mà còn đi chơi, đi du...",276000,276000,dropship,OEM,0,0.0,0,True,Túi xách Giahung,643,10,7493,False,0,backpacks_suitcases
172192390,Túi đeo ngực thời trang du lịch phong cách Quân đội Mỹ 208128 3(kaki),"• Kiểu dáng thể thao; gọn, nhẹ; ;   • Chất liệu vải cao cấp, bền nhẹ   • Túi đeo chéo thời trang, tiện dụng, có thể điều chỉnh tùy vóc dáng   • Chứa được nhiều đồ dùng cá nhân như điện t...",151000,151000,dropship,OEM,0,0.0,0,True,Túi xách tlg,535,6,4099,False,1,backpacks_suitcases
173252073,Ba Lô Nam Giới Và Nữ ba lô học sinh trung học ba lô Du Lịch dã ngoại Ngoài Trời 205925,Túi kích thước: Trong   Họa tiết: Màu   Vật liệu Kết cấu: Polyester   Nguồn cung cấp Thể loại: tại chỗ   Màu sắc: đỏ/xanh lá/xanh dương/Đen/Xanh/Xám/Xám   Loại sản phẩm: Ba lô du lịch/...,194700,179100,dropship,OEM,0,0.0,0,True,ĐỒ DA THÀNH LONG TLG,530,6,4862,False,0,backpacks_suitcases
58952983,"Balo du lịch đựng Laptop 15.6 inch nhiều ngăn, khóa mật mã, khe phone và cáp sạc ẩn tiện lợi","Balo du lịch đựng Macbook, Laptop 15.6 inch nhiều ngăn, khóa mật mã, khe phone và cáp sạc ẩn tiện lợiBalo đựng Laptop 15.6 inch từ chất liệu vải Oxford bên ngoài, đệm bông êm mịn siêu mỏng và lót Pol...",549000,549000,dropship,OEM,0,0.0,0,True,HASAN,1133,3,0,False,2,backpacks_suitcases
